year,level,persistent_id,label,confidence
2026,1,L1_C00088,Phase,0.8295836866004329
2026,1,L1_C00089,Symmetry,0.8178053830347946
2026,1,L1_C00091,Energy,0.794443897916644
2026,1,L1_C00092,Activation,0.82188758248682
2026,1,L1_C00094,Spherical,0.8663561646129646
2026,1,L1_C00111,Feature,0.8737669618283368
2026,1,L1_C00112,Kernel,0.8401197381662155
2026,1,L1_C00095,Scaling,0.8044522437723423
2026,1,L1_C00042,Descriptor,0.8688879454113936
2026,1,L1_C00071,Ionic,0.8367295829986474
2026,1,L1_C00113,Active,0.7564949357461537
2026,1,L1_C00069,Convex,0.7833213344056216
2026,1,L1_C00039,Cross-Validation,0.8401197381662155
2026,1,L1_C00058,Training,0.8988984046564275
2026,1,L1_C00114,Cutoff,0.7302585092994046
2026,1,L1_C00100,Phonon,0.8931825632724326
2026,1,L1_C00028,Workflow,0.799573227355399
2026,1,L1_C00031,System,0.8091042453358316
2026,1,L1_C00115,Cell,0.7564949357461537
2026,1,L1_C00116,Featurizer,0.849650756146648
2026,1,L1_C00034,Surface,0.770805020110221
2026,1,L1_C00117,Loss,0.8367295829986474
2026,1,L1_C00035,Automatminer,0.7639057329615259
2026,1,L1_C00118,Metric,0.8091042453358316
2026,1,L1_C00098,Virtual,0.799573227355399
2026,1,L1_C00119,Neighbor,0.7564949357461537
2026,1,L1_C00053,Calculation,0.813549421592915
2026,1,L1_C00102,Md-17,0.739789527279837
2026,1,L1_C00076,Equivariant,0.8295836866004329
2026,1,L1_C00120,Screening,0.7484906649788
2026,1,L1_C00052,Carbon,0.8178053830347946
2026,1,L1_C00121,Metal-Organic,0.719722457733622
